,Strategy,Cost,Feasibility
1,Baseline,0,NA
2,S1,99930305.55,0.025
3,S2,31769440.17,0.7065625
4,S3,62473057.04,0.286875
5,S4,3102334.304,0.57
6,S5,3461730.031,0.328472222
7,S6,81244469.32,0.48
8,S7,15470218.77,0.5
9,S8,2065148.726,0.5146875
10,S9,489700.4564,0.83125
11,S10,44777004.9,0.64
12,S11,133764894.4,0.077777778
13,S12,122720280.7,0.5
14,S13,126511174.7,0.713580247
15,S14,344783409.3,0.663343963
