,Strategy ,Cost,Feasibility 
1,Baseline,0,NA
2,S1,99930305.55,0.525
3,S2,31769440.17,0.37
4,S3,62473057.04,0.573
5,S4,3102334.304,0.637
6,S5,3461730.031,0.525
7,S6,81244469.32,0.687361111
8,S7,15470218.77,0.53515625
9,S8,2065148.726,0.36
10,S9,489700.4564,0.57
11,S10,44777004.9,0.507
12,S11,133764894.4,0.418333333
13,S12,122720280.7,0.538385417
14,S13,126511174.7,0.58812037
15,S14,344783409.3,0.528951736
